name,city,date,time,rating,Sun,Moon,Ascendant,bio,link Astro-Databank,group
"Figo, Luís","Lisbon, Portugal",1972-11-04,20:45,AA,12°30′ Scorpio,28°59′ Libra,22°04′ Gemini,"Portuguese football winger who played for the clubs Sporting CP (1989–1995), Barcelona (1995-2000), Real Madrid (2000–2005) and Inter Milan (2005-2009). ","https://www.astro.com/astro-databank/Figo,_Lu%C3%ADs",outfield player
"Nedvěd, Pavel","Cheb, Czech Republic",1972-08-30,03:00,AA,06°48′ Virgo,17°33′ Taurus,10°33′ Leo,Czech footballer who played as a midfielder. He is widely considered as one of the greatest Czech players of all time.,"https://www.astro.com/astro-databank/Nedv%C4%9Bd,_Pavel",outfield player
"Shevchenko, Andriy","Kiev, Ukraine",1976-09-29,10:35,A,06°17′ Libra,21°31′ Sagittarius,14°24′ Scorpio,"Retired footballer who played for Dynamo Kyiv, Milan, Chelsea and the Ukraine national team as a striker. ","https://www.astro.com/astro-databank/Shevchenko,_Andriy",outfield player
Ronaldinho,"Porto Alegre (Rio Grande do Sul), Brazil",1980-03-21,03:20,AA,00°48′ Aries,02°39′ Gemini,19°13′ Aquarius,"Brazilian football/soccer player, also known as Ronaldinho Gaúcho.",https://www.astro.com/astro-databank/Ronaldinho,outfield player
"Cannavaro, Fabio","Neapel, Italy",1973-09-13,07:00,AA,20°16′ Virgo,27°16′ Pisces,23°08′ Virgo,Italian professional soccer coach and former player.,"https://www.astro.com/astro-databank/Cannavaro,_Fabio",outfield player
Kaká,"Gama (Distrito Federal), Brazil",1982-04-22,10:25,AA,02°05′ Taurus,14°39′ Aries,26°37′ Gemini,"Brazilian-Italian soccer attacking midfielder who played from 2000 to 2017 with success at club and international level, becoming one of nine players to have won the FIFA World Cup, the UEFA Champions League and the Ballon d'Or. ",https://www.astro.com/astro-databank/Kak%C3%A1,outfield player
"Messi, Lionel","Rosario (Santa Fé), Argentina",1987-06-24,20:30,AA,02°55′ Cancer,19°03′ Gemini,04°59′ Aquarius,"Argentine expatriate soccer player, also known as Leo Messi, he plays as a forward for Ligue 1 club Paris Saint-Germain since 2021 and captains the Argentina national team.","https://www.astro.com/astro-databank/Messi,_Lionel",outfield player
"Modrić, Luka","Zadar, Croatia",1985-09-09,02:10,A,16°16′ Virgo,03°06′ Cancer,25°38′ Cancer,Croatian soccer midfielder who plays for Spanish club Real Madrid and is the captain of the Croatia national team. ,"https://www.astro.com/astro-databank/Modri%C4%87,_Luka",outfield player
"Benzema, Karim","Lyon, France",1987-12-19,22:10,AA,27°26′ Sagittarius,15°19′ Sagittarius,00°10′ Virgo,French international footballer born in Lyon to French nationals of Algerian descent.,"https://www.astro.com/astro-databank/Benzema,_Karim",outfield player
"Dembélé, Ousmane","Vernon, France",1997-05-15,00:55,AA,24°10′ Taurus,29°36′ Leo,07°36′ Capricorn,"French footballer of Malian and Senegalese descent, playing as forward for FC Barcelona (formerly Borussia Dortmund) and for the French national team.","https://www.astro.com/astro-databank/Demb%C3%A9l%C3%A9,_Ousmane",outfield player
"Maradona, Diego","Lanús (Buenos Aires), Argentina",1960-10-30,07:05,AA,06°59′ Scorpio,16°57′ Pisces,28°15′ Scorpio,"Argentine soccer champion who scored the winning goal in the final 1986 World Cup Game, when Argentina beat Mexico. ","https://www.astro.com/astro-databank/Maradona,_Diego",outfield player
Pelé,"Três Corações (Minas Gerais), Brazil",1940-10-21,03:00,AA,27°41′ Libra,22°00′ Gemini,09°30′ Virgo,"During his career, he became known as ""The Black Pearl"" (A Pérola Negra), ""The King of Football"" (O Rei do Futebol), ""The King Pelé"" (O Rei Pelé) or simply ""The King"" (O Rei).",https://www.astro.com/astro-databank/Pel%C3%A9,outfield player
"Mbappé, Kylian","Paris Arrondissement 19, France",1998-12-20,01:47,AA,27°55′ Sagittarius,10°17′ Capricorn,09°08′ Libra,"Widely regarded as one of the best players in the world, he is known for his dribbling, speed, and finishing.","https://www.astro.com/astro-databank/Mbapp%C3%A9,_Kylian",outfield player
"Lewandowski, Robert","Varsovie, Poland",1988-08-21,10:00,A,28°29′ Leo,06°32′ Sagittarius,14°34′ Libra,"Polish football player, playing for the Bayern Munich and captaining his national team. ","https://www.astro.com/astro-databank/Lewandowski,_Robert",outfield player
"Krankl, Hans","Wien, Austria",1953-02-14,01:50,A,25°03′ Aquarius,24°25′ Aquarius,00°25′ Sagittarius,"Austrian footballer, a prolific striker regarded by many as one of Austria's greatest players. ","https://www.astro.com/astro-databank/Krankl,_Hans",outfield player
"Friend, Donald","Moree, Australia",1915-02-06,03:00,A,15°50′ Aquarius,26°00′ Libra,12°20′ Capricorn,"Australian artist and diarist who lived much of his life overseas, in places as diverse as Nigeria (late 1930s, where he served as financial advisor to the Ogoga of Ikerre), Italy (several visits in the 1950s), Ceylon (now Sri Lanka; late 1950s – early 1960s), and Bali (from 1968 until his final return to Sydney in 1980).","https://www.astro.com/astro-databank/Friend,_Donald",control group
